id_dokumen;par_id;tanggal;unit;jenis_laporan;paragraf_raw;paragraf_chars;paragraf_clean;topic_id;topic_score;pestle
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;0;2023;BPOM;laporan_tahunan;LAPORAN TAHUNAN Balai Besar Pengawas Obat dan Makanan di Jakarta KATA PENGANTAR Assalamualaikum wr. wb.;103;lapor tahun balai besar awas obat makan jakarta kata antar assalamualaikum;3;0.7630195406621403;Uncategorized
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;1;2023;BPOM;laporan_tahunan;Puji Syukur kami panjatkan ke hadirat Allah SWT atas limpahan berkah, rahmat dan karunia-Nya sehingga kami masih diberikan;122;puji syukur kami panjat hadirat allah swt atas limpah berkah rahmat karunia nya kami masih beri;4;0.9602817335347101;Uncategorized
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;2;2023;BPOM;laporan_tahunan;kesempatan untuk menorehkan karya setahun kami dalam melaksanakan tugas dan fungsi BBPOM di Jakarta dalam sebuah;112;sempat toreh karya tahun kami laksana tugas fungsi bbpom jakarta buah;3;0.8943177399751043;Uncategorized
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;3;2023;BPOM;laporan_tahunan;Laporan Tahunan. Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023 merupakan bentuk pertanggungjawaban setiap pelaksanaan;125;lapor tahun lapor tahun balai besar pom jakarta tahun 2023 rupa bentuk pertanggungjawaban tiap laksana;3;0.6781731823322694;Uncategorized
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;4;2023;BPOM;laporan_tahunan;tugas dan fungsi BBPOM di Jakarta. Laporan ini juga memberikan informasi pencapaian kinerja dan gambaran kegiatan terhadap;122;tugas fungsi bbpom jakarta lapor juga beri informasi capai kerja gambar giat;3;0.9556256454532952;Uncategorized
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;5;2023;BPOM;laporan_tahunan;pengawasan obat dan makanan di wilayah Provinsi DKI Jakarta selama tahun 2023. Pencapaian kinerja Balai Besar POM di Jakarta di tahun 2023 ini tak lepas dari sinergi internal BPOM,;180;awas obat makan wilayah provinsi dki jakarta lama tahun 2023 capai kerja balai besar pom jakarta tahun 2023 tak lepas sinergi internal bpom;3;0.7198282610378212;Uncategorized
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;6;2023;BPOM;laporan_tahunan;mitra lintas sektor serta peran serta masyarakat. Kami mengucapan terima kasih dan apresiasi kepada;99;mitra lintas sektor peran masyarakat kami ucap terima kasih apresiasi kepada;3;0.7452121126337262;Social
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;7;2023;BPOM;laporan_tahunan;semua pihak yang telah memberikan kontribusi terbaiknya bagi pencapaian kinerja kami di tahun 2023;98;semua pihak telah beri kontribusi baik bagi capai kerja kami tahun 2023;3;0.7573258536835749;Uncategorized
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;8;2023;BPOM;laporan_tahunan;ini. Kami menyadari bahwa penyajian Laporan Tahunan ini jauh dari sempurna, oleh karena itu masukan;99;kami sadar bahwa saji lapor tahun jauh sempurna masuk;3;0.9303269842184724;Uncategorized
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;9;2023;BPOM;laporan_tahunan;dan saran dari berbagai pihak sangat kami harapkan untuk peningkatan kualitas laporan di masa;93;saran bagai pihak sangat kami harap tingkat kualitas lapor masa;4;0.8466366725637875;Uncategorized
